t=2025-11-12T15:24:15+0100 lvl=info msg="no configuration paths supplied"
t=2025-11-12T15:24:15+0100 lvl=info msg="using configuration at default config path" path=C:\\Users\\Sidney\\AppData\\Local/ngrok/ngrok.yml
t=2025-11-12T15:24:15+0100 lvl=info msg="open config file" path=C:\\Users\\Sidney\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2025-11-12T15:24:15+0100 lvl=eror msg="unable to evaluate ngrok agent binary path for symlinks" obj=tunnels.session err="The system cannot find the path specified."
t=2025-11-12T15:24:15+0100 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-11-12T15:24:15+0100 lvl=info msg="client session established" obj=tunnels.session
t=2025-11-12T15:24:15+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-11-12T15:57:43+0100 lvl=info msg="join connections" obj=join id=f6adbd90229e l=[::1]:3000 r=78.113.30.26:55230
t=2025-11-12T15:57:44+0100 lvl=info msg="join connections" obj=join id=fb8fb0f6a425 l=[::1]:3000 r=78.113.30.26:54211
t=2025-11-12T15:57:45+0100 lvl=info msg="join connections" obj=join id=2a339e36dc10 l=[::1]:3000 r=78.113.30.26:54211
t=2025-11-12T15:57:51+0100 lvl=info msg="join connections" obj=join id=9b089f3a1c03 l=[::1]:3000 r=78.113.30.26:54211
t=2025-11-12T15:57:51+0100 lvl=info msg="join connections" obj=join id=f0ecf66be92a l=[::1]:3000 r=78.113.30.26:54211
t=2025-11-12T15:57:57+0100 lvl=info msg="join connections" obj=join id=b4d5aa59e9c6 l=[::1]:3000 r=78.113.30.26:54211
t=2025-11-12T15:57:58+0100 lvl=info msg="join connections" obj=join id=dbed8540e1f7 l=[::1]:3000 r=78.113.30.26:54211
t=2025-11-12T15:57:59+0100 lvl=info msg="join connections" obj=join id=377341273503 l=[::1]:3000 r=78.113.30.26:54211
t=2025-11-12T16:00:41+0100 lvl=info msg="join connections" obj=join id=21a0fef87336 l=[::1]:3000 r=78.113.30.26:17780
t=2025-11-12T16:02:41+0100 lvl=info msg="join connections" obj=join id=27ffddd03cb2 l=[::1]:3000 r=78.113.30.26:55425
t=2025-11-12T16:02:54+0100 lvl=info msg="join connections" obj=join id=6be9c23c48fd l=[::1]:3000 r=78.113.30.26:62833
t=2025-11-12T16:05:41+0100 lvl=info msg="join connections" obj=join id=98bd364cb86f l=[::1]:3000 r=78.113.30.26:17781
t=2025-11-12T16:07:41+0100 lvl=info msg="join connections" obj=join id=a0bcd2dc3cc0 l=[::1]:3000 r=78.113.30.26:54685
t=2025-11-12T16:09:41+0100 lvl=info msg="join connections" obj=join id=d03ccac27b66 l=[::1]:3000 r=78.113.30.26:17781
t=2025-11-12T16:11:41+0100 lvl=info msg="join connections" obj=join id=2f8a8ee1e198 l=[::1]:3000 r=78.113.30.26:61964
t=2025-11-12T16:13:41+0100 lvl=info msg="join connections" obj=join id=d1b1c34b00c5 l=[::1]:3000 r=78.113.30.26:59566
t=2025-11-12T16:15:41+0100 lvl=info msg="join connections" obj=join id=7e8c6b039e2f l=[::1]:3000 r=78.113.30.26:17781
t=2025-11-12T16:17:41+0100 lvl=info msg="join connections" obj=join id=ec7d99ee3f98 l=[::1]:3000 r=78.113.30.26:62990
t=2025-11-12T16:19:41+0100 lvl=info msg="join connections" obj=join id=2046fd74c86c l=[::1]:3000 r=78.113.30.26:52954
